1477010443000000	0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0.00691132	5.19994	0	9.06338e-317	0
1477010443050000	0.717801	0.614757	7.21284	1.64727e-20	-7.02834e-20	0.862916	0.534212	0.859997	0.600045	5.19975	0.000345566	0.0138215	5.19975	0.00179686	0	75.2409
1477010443100000	1.16511	0.492755	7.21631	-0.000189002	-1.98895e-05	1.17385	0.481073	1.11998	0.600225	5.19943	0.00103664	0.0207296	5.19943	0.00538996	0.106524	0
1477010443150000	1.31576	0.559383	5.44827	-0.0106164	-0.00306394	0.969149	0.397513	1.37996	0.600629	5.19899	0.00207312	0.0276344	5.19898	0.0107781	0	14.344
1477010443200000	1.62107	0.571798	5.46246	-0.0100793	-0.00284482	1.65063	0.62469	1.6399	0.601347	5.19842	0.00345484	0.0345348	5.19839	0.0179597	0.242797	0
1477010443250000	1.86577	0.565138	5.44715	-0.00878496	-0.00227116	1.62331	0.499091	1.89982	0.60247	5.19773	0.00518158	0.0414297	5.19766	0.0269323	0	0.809117
1477010443300000	2.15792	0.573779	5.45761	-0.00693749	-0.00125439	2.18882	0.648739	2.1597	0.604086	5.19691	0.00725307	0.0483182	5.19678	0.0376932	0.356639	0
1477010443350000	2.38567	0.59313	5.30431	0.00809958	0.00648355	1.96701	0.557117	2.41954	0.606284	5.19597	0.00966898	0.0551989	5.19573	0.0502389	0	4.03474
1477010443400000	2.65452	0.601885	5.30357	0.0112846	0.00850755	2.65526	0.66598	2.67932	0.609155	5.19491	0.0124289	0.062071	5.1945	0.0645654	0.201601	0
1477010443450000	2.91814	0.614235	5.29226	0.0167477	0.0124394	2.92034	0.645898	2.93904	0.612786	5.19372	0.0155325	0.0689333	5.19309	0.080668	0	0.153312
1477010443500000	3.14912	0.616926	5.25136	0.0205666	0.0149177	3.01222	0.637046	3.19869	0.617267	5.19241	0.0189791	0.0757847	5.19147	0.0985415	1.05282	0
1477010443550000	3.422	0.590003	5.26723	0.00277922	-0.00325091	3.56096	0.485311	3.45825	0.622685	5.19097	0.0227684	0.0826241	5.18963	0.11818	0	1.94212
1477010443600000	3.72037	0.558107	5.32454	-0.0180409	-0.024712	3.89365	0.311793	3.71772	0.62913	5.18942	0.0268996	0.0894504	5.18754	0.139576	4.65844	0
1477010443650000	4.00295	0.576602	5.39083	-0.00736816	-0.0102248	4.19786	0.698311	3.97708	0.636689	5.18775	0.0313721	0.0962627	5.18519	0.162724	0	1.39452
1477010443700000	4.27872	0.575212	5.39982	-0.00801224	-0.0102647	4.30935	0.578564	4.23632	0.645449	5.18595	0.0361852	0.10306	5.18256	0.187614	0.0510345	0
1477010443750000	4.53766	0.592519	5.31528	0.000802341	0.000616417	4.61908	0.68951	4.49542	0.655498	5.18405	0.0413382	0.10984	5.17962	0.214238	0	0.941356
1477010443800000	4.72687	0.646642	5.19578	0.0324815	0.0401712	4.35143	0.899174	4.75437	0.666921	5.18202	0.0468302	0.116604	5.17634	0.242587	10.9783	0
1477010443850000	4.9778	0.652498	5.08475	0.0320621	0.0365061	5.20901	0.66599	5.01315	0.679804	5.17988	0.0526604	0.123349	5.1727	0.272649	0	1.48307
1477010443900000	5.2787	0.656967	5.15662	0.0297134	0.0315072	5.51894	0.648233	5.27175	0.694234	5.17763	0.0588279	0.130074	5.16867	0.304413	3.07198	0
1477010443950000	5.53849	0.666419	5.24198	0.0329759	0.0341077	5.22834	0.639362	5.53013	0.710295	5.17526	0.0653316	0.136779	5.16422	0.337868	0	1.71325
1477010444000000	5.83569	0.680789	5.29726	0.0360209	0.0361948	6.022	0.708619	5.78828	0.728072	5.17278	0.0721706	0.143463	5.15932	0.372999	1.87808	0
1477010444050000	6.07447	0.640907	5.14934	0.0130858	0.00210791	5.89392	0.373584	6.04618	0.747647	5.1702	0.0793437	0.150124	5.15393	0.409793	0	3.93434
1477010444100000	6.33091	0.714811	5.14858	0.0481904	0.0493737	6.34249	0.948833	6.30379	0.769103	5.16751	0.0868499	0.156761	5.14803	0.448233	3.17337	0
